,dataid,city,state
786,6960,Arlington,Texas
787,4773,Round Rock,Texas
788,125,Richmond,Texas
789,337,Temple,Texas
790,733,Houston,Texas
791,810,Plano,Texas
792,925,Arlington,Texas
793,1011,Kingwood,Texas
794,1125,Mansfield,Texas
795,1439,Katy,Texas
796,1696,Grapevine,Texas
797,2188,Houston,Texas
798,2391,Hurst,Texas
799,2480,Katy,Texas
800,2690,Tomball,Texas
801,2710,McKinney,Texas
802,2858,Big Spring,Texas
803,2900,Houston,Texas
804,3045,Grapevine,Texas
805,3368,Round Rock,Texas
806,3741,Keller,Texas
807,4062,McKinney,Texas
808,4162,Waco,Texas
809,4191,Dallas,Texas
810,4231,Dallas,Texas
811,4491,North Richland Hills,Texas
812,4576,Katy,Texas
813,4694,Dallas,Texas
814,4850,Houston,Texas
815,5062,Houston,Texas
816,5089,Pearland,Texas
817,5090,Coppell,Texas
818,5191,Rowlett,Texas
819,5238,Dallas,Texas
820,5312,Spring,Texas
821,5355,Plano,Texas
822,6057,Murphy,Texas
823,6308,Richardson,Texas
824,6321,Humble,Texas
825,6764,Houston,Texas
826,6927,Dallas,Texas
827,7103,Arlington,Texas
828,7198,Plano,Texas
829,7211,Lancaster,Texas
830,7248,Houston,Texas
831,7626,McKinney,Texas
832,8024,Dallas,Texas
833,8124,Dallas,Texas
834,8139,Houston,Texas
835,8185,Fort Worth,Texas
836,8223,El Lago,Texas
837,8478,Houston,Texas
838,8604,Houston,Texas
839,8691,Midland,Texas
840,8693,Houston,Texas
841,8744,Houston,Texas
842,9080,Malakoff,Texas
843,9534,Killeen,Texas
844,9648,Euless,Texas
845,9807,Spring,Texas
846,6551,Dallas,Texas
847,8731,Arlington,Texas
848,4185,Houston,Texas
849,195,Aledo,Texas
850,498,Dallas,Texas
851,1162,Waxahachie,Texas
852,1572,Dallas,Texas
853,2257,Waxahachie,Texas
854,2297,Palestine,Texas
855,2369,Arlington,Texas
856,2536,Houston,Texas
857,2739,Fort Worth,Texas
858,2969,Gorman,Texas
859,3610,Terrell,Texas
860,3686,Fort Worth,Texas
861,3906,Houston,Texas
862,3921,Grapevine,Texas
863,4055,Dallas,Texas
864,5188,Del Valle,Texas
865,6019,Hudson Oaks,Texas
866,6271,Lufkin,Texas
867,6644,Rowlett,Texas
868,7149,Fort Worth,Texas
869,7273,Wichita Falls,Texas
870,7433,Sunnyvale,Texas
871,7447,Grapevine,Texas
872,7485,Hurst,Texas
873,8449,Arlington,Texas
874,8966,Midlothian,Texas
875,9143,Dallas,Texas
876,9171,Irving,Texas
877,9255,Dallas,Texas
878,9471,Fort Worth,Texas
879,3486,Grapevine,Texas
880,8907,Odessa,Texas
881,2532,Austin,Texas
882,6558,Austin,Texas
883,2110,Mansfield,Texas
884,4659,Euless,Texas
885,4873,Trophy Club,Texas
886,2995,Austin,Texas
887,9233,Austin,Texas
888,6744,Austin,Texas
889,820,Austin,Texas
890,2815,Austin,Texas
891,7302,Austin,Texas
892,2521,Austin,Texas
893,3026,Austin,Texas
894,8961,Austin,Texas
895,4321,Austin,Texas
896,8328,Austin,Texas
897,4864,Austin,Texas
898,347,Austin,Texas
899,3411,Austin,Texas
900,6500,Austin,Texas
901,9340,Austin,Texas
902,7527,Austin,Texas
903,135,Austin,Texas
904,1854,Austin,Texas
905,9201,Austin,Texas
906,9803,Austin,Texas
907,4042,Austin,Texas
908,4416,Austin,Texas
909,772,Austin,Texas
910,8034,Austin,Texas
911,5786,Austin,Texas
912,1202,Austin,Texas
913,2692,Austin,Texas
914,3085,Austin,Texas
915,4806,Austin,Texas
916,9051,Austin,Texas
917,4437,Austin,Texas
918,9890,Austin,Texas
919,2323,Austin,Texas
920,6133,Austin,Texas
921,5356,Austin,Texas
922,457,Austin,Texas
923,3678,Austin,Texas
924,4544,Austin,Texas
925,1331,Austin,Texas
926,9931,Austin,Texas
927,5539,Austin,Texas
928,22,Austin,Texas
929,765,Austin,Texas
930,1105,Austin,Texas
931,1479,Austin,Texas
932,1889,Austin,Texas
933,4296,Austin,Texas
934,3705,Austin,Texas
935,499,Austin,Texas
936,5959,Austin,Texas
937,5060,Austin,Texas
938,7491,Austin,Texas
939,7703,Austin,Texas
940,7984,Austin,Texas
941,5317,Austin,Texas
942,9642,Austin,Texas
943,4856,Austin,Texas
944,6378,Dallas,Texas
945,8370,Austin,Texas
946,7408,Austin,Texas
947,4967,Austin,Texas
948,4383,Austin,Texas
949,3806,Austin,Texas
950,3032,Austin,Texas
951,2247,Austin,Texas
952,878,Austin,Texas
953,4800,Austin,Texas
954,7512,Austin,Texas
955,1069,Austin,Texas
956,3425,Austin,Texas
957,3484,Austin,Texas
958,9195,Austin,Texas
959,1577,Austin,Texas
960,3721,Austin,Texas
961,297,Austin,Texas
962,6165,Austin,Texas
963,9176,Austin,Texas
964,9605,Houston,Texas
965,3200,Cedar Park,Texas
966,2360,Austin,Texas
967,5778,Austin,Texas
968,7617,McKinney,Texas
969,59,Austin,Texas
970,7090,Plano,Texas
971,7597,Austin,Texas
972,111,Austin,Texas
973,4408,Austin,Texas
974,4561,Allen,Texas
975,4728,Allen,Texas
976,5673,Austin,Texas
977,8282,Austin,Texas
978,280,Houston,Texas
979,4944,Houston,Texas
980,275,Houston,Texas
981,8107,Austin,Texas
982,5938,San Diego,California
983,5909,San Diego,California
984,54,San Diego,California
985,3938,San Diego,California
986,8061,San Diego,California
987,6497,San Diego,California
988,101,Austin,Texas
989,1035,Austin,Texas
990,5586,Austin,Texas
991,6502,Austin,Texas
992,6787,Austin,Texas
993,9711,San Diego,California
994,6689,San Diego,California
995,8736,Austin,Texas
996,4329,San Diego,California
997,6152,San Diego,California
998,8574,San Diego,California
999,7114,San Diego,California
1000,3687,San Diego,California
1001,7062,San Diego,California
1002,8733,San Diego,California
1003,9213,San Diego,California
1004,9775,San Diego,California
1005,4015,Austin,Texas
1006,3916,Austin,Texas
1007,807,Austin,Texas
1008,2559,Austin,Texas
1009,4035,San Antonio,Texas
1010,4495,San Diego,California
1011,5805,Austin,Texas
1012,6383,Austin,Texas
1013,7321,Austin,Texas
1014,1410,Austin,Texas
1015,6995,Austin,Texas
1016,7077,Austin,Texas
1017,7363,Dallas,Texas
1018,9116,Austin,Texas
1019,4776,Austin,Texas
1020,9674,Austin,Texas
1021,8183,Austin,Texas
1022,3947,Austin,Texas
1023,1845,Austin,Texas
1024,3143,Austin,Texas
1025,48,Austin,Texas
1026,508,Austin,Texas
1027,3883,Austin,Texas
1028,6078,Austin,Texas
1029,7436,Austin,Texas
1030,2907,Austin,Texas
1031,3873,Austin,Texas
1032,9215,Austin,Texas
1033,2472,Austin,Texas
1034,2848,Austin,Texas
1035,1199,San Diego,California
1036,8023,Austin,Texas
1037,6770,San Diego,California
1038,9197,San Diego,California
1039,6377,San Diego,California
1040,6268,San Diego,California
1041,5728,Austin,Texas
1042,3443,Austin,Texas
1043,7549,Austin,Texas
1044,7671,Austin,Texas
1045,4000,Austin,Texas
1046,1037,Austin,Texas
1047,645,Austin,Texas
